param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.12203008214118917};0.205537043;0.865886433;19800;4045613;553142;76533
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.12203008214118917};0.216633968;0.866341802;20869;4046682;552073;75464
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.12203008214118917};0.212429801;0.866169282;20464;4046277;552478;75869
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.12203008214118917};0.220069966;0.866482801;21200;4047013;551742;75133
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.12203008214118917};0.214765449;0.866265126;20689;4046502;552253;75644
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.12203008214118917};0.212990356;0.866192284;20518;4046331;552424;75815
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.12203008214118917};0.205983412;0.86590475;19843;4045656;553099;76490
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.12203008214118917};0.211568206;0.866133925;20381;4046194;552561;75952
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.12203008214118917};0.213748144;0.866223381;20591;4046404;552351;75742
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.12203008214118917};0.209512836;0.866049582;20183;4045996;552759;76150
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.12203008214118917};0.203045685;0.865784198;19560;4045373;553382;76773
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.12203008214118917};0.208620099;0.866012948;20097;4045910;552845;76236
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.12203008214118917};0.211682393;0.866138611;20392;4046205;552550;75941
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.12203008214118917};0.221948865;0.866559903;21381;4047194;551561;74952
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.12203008214118917};0.219229132;0.866448297;21119;4046932;551823;75214
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.12203008214118917};0.194107938;0.865417432;18699;4044512;554243;77634
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.12203008214118917};0.202308659;0.865753954;19489;4045302;553453;76844
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.12203008214118917};0.219862352;0.866474281;21180;4046993;551762;75153
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.12203008214118917};0.217474801;0.866376306;20950;4046763;551992;75383
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.12203008214118917};0.214495552;0.866254051;20663;4046476;552279;75670
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.12203008214118917};0.213883093;0.866228918;20604;4046417;552338;75729
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.12203008214118917};0.208132208;0.865992927;20050;4045863;552892;76283
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.12203008214118917};0.209668546;0.866055972;20198;4046011;552744;76135
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.12203008214118917};0.214817352;0.866267256;20694;4046507;552248;75639
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.12203008214118917};0.207945356;0.865985259;20032;4045845;552910;76301
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.12203008214118917};0.170273946;0.864439389;16403;4042216;556539;79930
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.12203008214118917};0.197066426;0.865538835;18984;4044797;553958;77349
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.12203008214118917};0.187796498;0.865158438;18091;4043904;554851;78242
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.12203008214118917};0.181318967;0.864892628;17467;4043280;555475;78866
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.12203008214118917};0.198945325;0.865615937;19165;4044978;553777;77168
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.12203008214118917};0.175869121;0.86466899;16942;4042755;556000;79391
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.12203008214118917};0.184703061;0.865031497;17793;4043606;555149;78540
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.12203008214118917};0.191647722;0.865316475;18462;4044275;554480;77871
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.12203008214118917};0.184235932;0.865012328;17748;4043561;555194;78585
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.12203008214118917};0.198280963;0.865588675;19101;4044914;553841;77232
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.12203008214118917};0.169661487;0.864414256;16344;4042157;556598;79989
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.12203008214118917};0.177187464;0.864723089;17069;4042882;555873;79264
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.12203008214118917};0.188284389;0.865178459;18138;4043951;554804;78195
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.12203008214118917};0.189011035;0.865208277;18208;4044021;554734;78125
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.12203008214118917};0.196267115;0.865506035;18907;4044720;554035;77426
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.2179869575608004};0.33690428;0.775320292;32455;3607742;991013;63878
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.2179869575608004};0.340402562;0.775463846;32792;3608079;990676;63541
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.2179869575608004};0.342322984;0.775542652;32977;3608264;990491;63356
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.2179869575608004};0.341357583;0.775503036;32884;3608171;990584;63449
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.2179869575608004};0.339997716;0.775447233;32753;3608040;990715;63580
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.2179869575608004};0.333686276;0.775188239;32145;3607432;991323;64188
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.2179869575608004};0.340579033;0.775471088;32809;3608096;990659;63524
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.2179869575608004};0.342478694;0.775549042;32992;3608279;990476;63341
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.2179869575608004};0.335741646;0.775272583;32343;3607630;991125;63990
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.2179869575608004};0.341388725;0.775504314;32887;3608174;990581;63446
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.2179869575608004};0.321094537;0.774671529;30932;3606219;992536;65401
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.2179869575608004};0.328226049;0.774964175;31619;3606906;991849;64714
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.2179869575608004};0.334111883;0.775205704;32186;3607473;991282;64147
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.2179869575608004};0.331630905;0.775103896;31947;3607234;991521;64386
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.2179869575608004};0.330655123;0.775063854;31853;3607140;991615;64480
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.2179869575608004};0.32713608;0.774919448;31514;3606801;991954;64819
