;param;accuracy;recall;precision;f1;TP;TN;FP;FN
123;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 100};0.846701276;0.205692753;0.029884714;0.052187242;;;;
124;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 200};0.846590096;0.202983401;0.029491078;0.05149984;;;;
125;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 300};0.846350697;0.197149471;0.028643477;0.050019687;;;;
126;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 100};0.847840765;0.233461015;0.033919113;0.059232454;;;;
127;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 200};0.848106148;0.239928166;0.034858713;0.060873264;;;;
128;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 300};0.848063125;0.238879719;0.034706386;0.060607258;;;;
129;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 100};0.847971114;0.236637497;0.034380618;0.060038373;;;;
130;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 200};0.848081442;0.239326088;0.034771238;0.060720508;;;;
131;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 300};0.847961742;0.236409123;0.034347438;0.059980431;;;;
132;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 100};0.846453357;0.19965121;0.02900695;0.050654415;;;;
133;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 200};0.846533867;0.201613154;0.029291997;0.051152188;;;;
134;{'contamination': 0.14122145722511142, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 300};0.846665068;0.204810397;0.029756518;0.051963375;;;;
135;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 100};0.846660382;0.20469621;0.029739928;0.051934404;;;;
