datemesure;day_sin;day_cos;numero_jour
2015-02-05;0.5794210982045637;0.8150283375168114;36
2015-02-06;0.593326764377232;0.8049617075821959;37
2015-02-07;0.6070575744291002;0.7946578517376252;38
2015-02-08;0.6206094818274227;0.7841198065767105;39
2015-02-09;0.6339784927628866;0.7733506777097299;40
2015-02-10;0.647160667326606;0.7623536388483904;41
2015-02-11;0.6601521206712317;0.7511319308705199;42
2015-02-12;0.6729490241558329;0.7396888608649669;43
2015-02-13;0.6855476064742154;0.7280278011569848;44
2015-02-14;0.6979441547663435;0.7161521883143933;45
2015-02-15;0.7101350157125358;0.7040655221348057;46
2015-02-16;0.7221165966101162;0.691771364614222;47
2015-02-17;0.733885366432199;0.6792733388972931;48
2015-02-18;0.7454378568683001;0.6665751282095632;49
2015-02-19;0.7567706633464625;0.653680474772006;50
2015-02-20;0.7678804460366;0.6405931786981751;51
2015-02-21;0.7787639308347607;0.6273170968742937;52
2015-02-22;0.7894179103280197;0.613856141822612;53
2015-02-23;0.7998392447397193;0.6002142805483682;54
2015-02-24;0.8100248628547753;0.5863955333706956;55
2015-02-25;0.8199717629247771;0.5724039727378148;56
2015-02-26;0.8296770135526188;0.5582437220268648;57
2015-02-27;0.8391377545563938;0.5439189543287247;58
2015-02-28;0.8483511978123038;0.5294338912181853;59
2015-03-01;0.8573146280763322;0.5147928015098309;60
2015-03-02;0.8660254037844386;0.5000000000000001;61
2015-03-03;0.8744809578310397;0.4850598461951962;62
2015-03-04;0.8826787983255474;0.4699767430273199;63
2015-03-05;0.8906165093267404;0.4547551355561058;64
2015-03-06;0.8982917515547528;0.4393995096591417;65
2015-03-07;0.9057022630804714;0.4239143907098607;66
2015-03-08;0.9128458599921356;0.4083043422438933;67
2015-03-09;0.9197204370389468;0.3925739646141717;68
2015-03-10;0.926323968251495;0.3767278936351851;69
2015-03-11;0.9326545075388224;0.3607707992167834;70
2015-03-12;0.9387101892619444;0.3447073839879338;71
2015-03-13;0.9444892287836611;0.3285423819108348;72
2015-03-14;0.949989922994501;0.3122805568857947;73
2015-03-15;0.9552106508146316;0.2959267013472893;74
2015-03-16;0.9601498736716018;0.2794856348516095;75
2015-03-17;0.9648061359537644;0.2629622026565149;76
2015-03-18;0.9691780654392536;0.2463612742933148;77
2015-03-19;0.9732643737003824;0.2296877421317957;78
2015-03-20;0.9770638564833508;0.2129465199384158;79
2015-03-21;0.9805753940631428;0.1961425414281969;80
2015-03-22;0.9837979515735163;0.1792807588107357;81
2015-03-23;0.9867305793119814;0.162366141330764;82
2015-03-24;0.989372413019683;0.1454036738036897;83
2015-03-25;0.9917226741361016;0.1283983551465509;84
2015-03-26;0.9937806700284983;0.1113551969048087;85
2015-03-27;0.9955457941960382;0.0942792217754245;86
2015-03-28;0.9970175264485268;0.0771754621266465;87
2015-03-29;0.998195433059714;0.0600489585149486;88
2015-03-30;0.9990791668951152;0.0429047581995543;89
2015-03-31;0.999668467514313;0.0257479136549886;90
2015-04-01;0.99996316124771;0.008583481082087;91
2015-04-02;0.99996316124771;-0.0085834810820869;92
2015-04-03;0.9996684675143132;-0.0257479136549883;93
2015-04-04;0.9990791668951152;-0.0429047581995544;94
2015-04-05;0.998195433059714;-0.0600489585149482;95
2015-04-06;0.9970175264485268;-0.0771754621266461;96
2015-04-07;0.9955457941960382;-0.0942792217754244;97
2015-04-08;0.9937806700284983;-0.1113551969048086;98
2015-04-09;0.9917226741361016;-0.128398355146551;99
2015-04-10;0.9893724130196828;-0.1454036738036898;100
